"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Sep-2024","EQ","336.90","337.25","332.00","334.15","333.00","333.20","335.18","362.50","190.65","1,01,34,008","3,39,66,74,330.20","1,06,802"
"10-Sep-2024","EQ","327.00","335.30","327.00","328.55","334.75","334.15","333.43","362.50","190.65","1,54,72,387","5,15,90,32,096.80","1,13,571"
"09-Sep-2024","EQ","327.70","329.20","323.55","329.80","328.10","328.55","326.45","362.50","190.65","1,85,97,200","6,07,10,34,625.35","1,29,268"
"06-Sep-2024","EQ","333.05","333.10","325.00","331.25","329.30","329.80","327.89","362.50","190.65","2,37,55,639","7,78,91,21,406.55","1,48,839"
"05-Sep-2024","EQ","332.35","334.30","329.60","332.90","330.25","331.25","332.26","362.50","190.65","1,39,12,371","4,62,25,28,285.80","1,35,931"
"04-Sep-2024","EQ","331.20","334.70","331.00","334.65","332.80","332.90","332.93","362.50","190.65","90,25,610","3,00,48,81,081.35","97,931"
"03-Sep-2024","EQ","336.00","337.95","334.00","335.55","334.50","334.65","335.90","362.50","190.65","84,34,423","2,83,31,48,693.85","1,04,930"
"02-Sep-2024","EQ","338.40","339.90","334.20","337.40","335.95","335.55","336.48","362.50","190.65","97,89,776","3,29,40,80,894.40","1,11,933"
"30-Aug-2024","EQ","335.00","340.85","334.05","333.30","338.00","337.40","338.07","362.50","190.65","2,27,13,812","7,67,89,42,166.60","1,46,858"
"29-Aug-2024","EQ","332.50","335.90","328.80","334.45","335.00","333.30","332.17","362.50","190.65","1,76,53,536","5,86,39,21,380.75","2,54,812"
"28-Aug-2024","EQ","335.35","338.90","333.75","335.35","334.40","334.45","336.24","362.50","190.65","87,90,600","2,95,57,81,944.45","94,864"
"27-Aug-2024","EQ","339.00","341.45","335.00","338.25","335.50","335.35","338.16","362.50","190.65","95,89,690","3,24,28,51,369.75","65,090"
"26-Aug-2024","EQ","336.45","341.50","335.85","336.25","338.50","338.25","339.44","362.50","190.65","79,93,675","2,71,33,53,911.30","87,241"
"23-Aug-2024","EQ","334.65","336.95","333.35","334.00","336.20","336.25","335.39","362.50","190.65","74,94,822","2,51,36,65,341.10","85,600"
"22-Aug-2024","EQ","336.00","337.70","330.50","336.65","333.95","334.00","333.29","362.50","190.65","1,83,70,039","6,12,25,62,051.55","1,64,072"
"21-Aug-2024","EQ","340.00","340.95","336.15","340.50","337.25","336.65","338.39","362.50","190.65","1,01,18,601","3,42,40,79,784.35","1,05,780"
"20-Aug-2024","EQ","340.45","342.65","338.80","340.30","340.75","340.50","340.72","362.50","190.65","63,93,840","2,17,85,34,493.75","65,261"
"19-Aug-2024","EQ","342.65","343.30","339.30","338.60","340.70","340.30","341.37","362.50","190.65","58,91,370","2,01,11,55,552.45","80,586"
"16-Aug-2024","EQ","333.00","339.55","330.60","333.50","339.00","338.60","335.62","362.50","190.65","1,30,13,828","4,36,76,72,205.00","1,19,400"
"14-Aug-2024","EQ","337.00","338.35","332.50","336.95","333.30","333.50","334.72","362.50","190.65","1,23,85,993","4,14,58,72,442.35","1,00,734"
"13-Aug-2024","EQ","337.00","342.45","335.15","341.15","335.80","336.95","338.90","362.50","190.65","1,04,35,954","3,53,67,33,917.35","1,21,895"
"12-Aug-2024","EQ","343.00","343.80","339.50","346.00","341.20","341.15","341.96","362.50","190.65","1,25,21,136","4,28,17,83,953.30","1,14,657"
"09-Aug-2024","EQ","347.90","348.95","344.30","342.65","345.30","346.00","346.38","362.50","190.65","87,20,610","3,02,06,66,465.00","1,44,281"
"08-Aug-2024","EQ","355.00","355.00","341.25","352.05","343.15","342.65","344.70","362.50","190.65","1,54,89,731","5,33,92,44,233.60","1,86,783"
"07-Aug-2024","EQ","345.85","352.55","343.40","340.75","351.65","352.05","348.94","362.50","190.65","1,24,41,847","4,34,14,60,723.50","1,31,819"
"06-Aug-2024","EQ","342.80","350.80","339.25","342.80","341.70","340.75","343.88","362.50","190.65","1,22,73,667","4,22,06,32,772.15","1,23,331"
"05-Aug-2024","EQ","352.75","354.80","341.50","358.25","342.85","342.80","345.76","362.50","190.65","1,35,66,586","4,69,07,77,726.35","1,56,750"
"02-Aug-2024","EQ","358.00","361.05","354.00","361.10","357.60","358.25","357.25","362.50","190.65","1,37,71,470","4,91,98,46,739.35","1,41,022"
"01-Aug-2024","EQ","351.15","362.50","350.15","348.20","361.50","361.10","359.41","362.50","190.65","2,67,92,459","9,62,94,46,030.85","2,25,359"
"31-Jul-2024","EQ","348.25","350.65","342.60","349.80","349.20","348.20","347.16","356.95","190.65","1,79,76,593","6,24,07,89,824.90","1,37,801"
"30-Jul-2024","EQ","345.00","356.95","343.30","342.35","349.50","349.80","353.17","356.95","190.65","2,58,13,219","9,11,64,96,855.00","2,89,603"
"29-Jul-2024","EQ","339.80","345.90","337.75","344.20","342.80","342.35","341.39","348.75","190.65","3,18,49,674","10,87,31,55,666.50","1,63,414"
"26-Jul-2024","EQ","340.35","345.55","338.50","339.45","344.50","344.20","343.58","348.75","190.65","1,14,68,068","3,94,01,65,669.25","1,00,657"
"25-Jul-2024","EQ","330.45","342.60","330.45","337.15","338.05","339.45","336.46","348.75","190.65","1,62,71,884","5,47,49,17,888.75","1,27,549"
"24-Jul-2024","EQ","330.90","338.80","330.30","334.25","337.05","337.15","336.01","348.75","190.65","1,25,73,882","4,22,49,72,330.80","88,901"
"23-Jul-2024","EQ","339.10","340.50","321.10","338.60","334.50","334.25","332.85","348.75","190.65","1,59,54,324","5,31,04,36,653.15","1,55,152"
"22-Jul-2024","EQ","330.00","339.40","329.50","332.20","338.70","338.60","337.11","348.75","190.65","1,06,78,640","3,59,98,45,707.70","1,02,191"
"19-Jul-2024","EQ","339.55","341.85","331.00","341.25","332.00","332.20","334.85","348.75","190.65","1,29,37,990","4,33,23,14,990.20","1,15,962"
"18-Jul-2024","EQ","342.00","344.70","336.95","342.45","340.95","341.25","340.81","348.75","190.65","1,39,08,161","4,74,00,43,866.55","2,10,347"
"16-Jul-2024","EQ","342.75","347.00","341.50","343.85","342.75","342.45","343.88","348.75","190.65","1,13,63,095","3,90,75,42,769.35","77,640"
"15-Jul-2024","EQ","345.40","345.40","340.20","343.10","343.80","343.85","343.64","348.75","190.65","52,77,531","1,81,35,50,777.95","72,702"
"12-Jul-2024","EQ","342.80","345.90","340.10","342.80","342.60","343.10","343.33","348.75","190.65","1,13,80,570","3,90,72,52,228.85","1,24,872"
"11-Jul-2024","EQ","348.50","348.75","342.00","346.05","343.60","342.80","343.61","348.75","190.65","1,26,42,065","4,34,39,33,372.05","1,40,205"
"10-Jul-2024","EQ","343.00","347.80","335.50","341.15","345.00","346.05","343.50","348.70","190.65","1,06,62,609","3,66,25,86,216.40","1,19,818"
"09-Jul-2024","EQ","340.00","342.35","338.10","339.40","340.95","341.15","340.89","348.70","190.65","92,14,579","3,14,11,54,429.90","1,04,224"
"08-Jul-2024","EQ","341.00","341.00","336.85","339.40","339.80","339.40","339.04","348.70","190.65","78,28,162","2,65,40,87,712.00","77,024"
"05-Jul-2024","EQ","335.00","339.90","332.85","335.00","339.15","339.40","337.51","348.70","190.65","1,08,94,118","3,67,69,13,073.15","1,12,487"
"04-Jul-2024","EQ","337.00","338.70","333.90","335.15","335.10","335.00","336.00","348.70","190.65","1,28,78,827","4,32,72,61,454.95","1,48,541"
"03-Jul-2024","EQ","331.10","336.90","329.10","330.80","336.25","335.15","333.14","348.70","190.65","93,69,793","3,12,14,07,476.35","93,143"
"02-Jul-2024","EQ","330.05","334.40","328.05","329.60","331.20","330.80","331.71","348.70","190.65","1,26,84,459","4,20,75,40,505.75","1,46,818"
"01-Jul-2024","EQ","331.00","331.75","325.25","330.95","329.60","329.60","328.61","348.70","190.65","1,19,59,181","3,92,99,62,912.85","1,18,170"
"28-Jun-2024","EQ","333.00","337.35","329.60","331.55","331.30","330.95","333.21","348.70","190.65","2,16,76,594","7,22,28,65,339.05","2,22,824"
"27-Jun-2024","EQ","328.55","332.50","324.35","326.70","331.70","331.55","329.56","348.70","190.65","2,70,61,015","8,91,81,30,093.35","2,59,522"
"26-Jun-2024","EQ","325.70","330.20","324.95","327.40","327.50","326.70","327.45","348.70","190.65","1,29,46,277","4,23,92,46,425.30","1,12,874"
"25-Jun-2024","EQ","335.00","335.00","325.80","332.95","327.25","327.40","330.18","348.70","190.65","1,39,79,671","4,61,58,47,521.65","1,23,122"
"24-Jun-2024","EQ","323.10","334.00","322.55","325.95","333.20","332.95","331.17","348.70","190.65","1,80,44,357","5,97,57,28,440.65","1,65,448"
"21-Jun-2024","EQ","326.70","329.60","323.00","324.55","324.90","325.95","326.50","348.70","190.65","1,72,09,541","5,61,88,95,316.95","1,58,874"
"20-Jun-2024","EQ","327.50","328.30","322.30","327.30","325.40","324.55","324.12","348.70","190.65","1,17,49,507","3,80,82,90,457.20","1,29,586"
"19-Jun-2024","EQ","334.00","334.85","325.40","331.80","327.50","327.30","329.44","348.70","190.65","1,42,35,150","4,68,95,78,366.50","1,25,073"
"18-Jun-2024","EQ","322.00","332.50","322.00","321.50","331.55","331.80","329.42","348.70","190.65","2,16,53,702","7,13,30,71,089.40","1,58,229"
"14-Jun-2024","EQ","326.00","326.00","319.35","321.45","321.50","321.50","321.44","348.70","190.65","1,41,59,988","4,55,15,44,611.60","1,54,678"
"13-Jun-2024","EQ","327.00","327.95","320.65","324.65","321.30","321.45","322.70","348.70","190.65","1,17,56,503","3,79,37,97,402.45","1,21,897"
"12-Jun-2024","EQ","319.90","327.10","316.90","316.55","324.25","324.65","323.43","348.70","190.65","2,03,46,144","6,58,05,86,964.80","2,05,204"
"11-Jun-2024","EQ","316.20","319.70","315.15","315.80","316.95","316.55","317.25","348.70","190.65","1,22,38,518","3,88,27,23,949.40","1,35,433"
"10-Jun-2024","EQ","313.00","323.35","311.60","309.35","315.80","315.80","319.18","348.70","190.65","2,54,78,964","8,13,24,13,902.75","2,17,389"
