"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Sep-2024","EQ","346.30","351.95","342.30","344.30","350.35","349.80","347.28","394.70","204.25","1,88,80,957","6,55,69,64,151.30","1,71,755"
"11-Sep-2024","EQ","352.50","355.40","343.05","351.50","344.80","344.30","350.19","394.70","204.25","2,27,79,115","7,97,70,05,739.50","2,08,330"
"10-Sep-2024","EQ","343.95","359.75","340.85","341.70","352.15","351.50","352.41","394.70","204.25","6,09,20,830","21,46,92,25,912.40","4,50,178"
"09-Sep-2024","EQ","337.95","345.85","329.30","336.85","344.10","341.70","337.27","394.70","204.25","1,86,87,398","6,30,26,45,889.85","1,99,116"
"06-Sep-2024","EQ","345.00","345.85","336.00","345.35","337.75","336.85","338.78","394.70","204.25","1,72,65,092","5,84,91,22,114.20","1,89,645"
"05-Sep-2024","EQ","348.60","350.45","344.00","347.20","344.35","345.35","347.43","394.70","204.25","1,64,06,870","5,70,02,02,093.05","1,48,524"
"04-Sep-2024","EQ","345.00","350.30","343.05","350.20","346.40","347.20","346.58","394.70","204.25","2,20,05,759","7,62,67,03,602.05","1,84,571"
"03-Sep-2024","EQ","351.00","355.00","342.50","344.90","348.20","350.20","348.18","394.70","204.25","6,52,93,715","22,73,39,97,737.70","5,31,261"
"02-Sep-2024","EQ","323.90","349.35","323.15","321.70","348.00","344.90","337.83","394.70","204.25","6,53,33,808","22,07,20,38,490.70","4,16,061"
"30-Aug-2024","EQ","327.65","331.60","320.65","325.65","322.40","321.70","325.24","394.70","204.25","2,74,98,340","8,94,35,55,058.10","2,23,183"
"29-Aug-2024","EQ","324.25","333.10","323.50","322.25","325.50","325.65","327.27","394.70","204.25","3,38,08,226","11,06,43,75,391.05","2,63,259"
"28-Aug-2024","EQ","327.00","330.25","320.90","323.60","322.30","322.25","326.13","394.70","204.25","2,14,70,187","7,00,20,88,237.40","1,88,622"
"27-Aug-2024","EQ","324.50","326.60","321.65","323.25","323.80","323.60","323.45","394.70","204.25","1,66,00,233","5,36,93,70,358.50","1,25,338"
"26-Aug-2024","EQ","332.70","334.20","321.75","327.15","323.70","323.25","325.85","394.70","204.25","2,61,18,300","8,51,05,90,963.25","1,98,622"
"23-Aug-2024","EQ","330.00","333.70","326.70","329.60","327.05","327.15","329.71","394.70","204.25","89,35,180","2,94,59,88,988.50","91,253"
"22-Aug-2024","EQ","332.20","333.40","328.90","331.10","329.60","329.60","331.01","394.70","204.25","83,68,346","2,76,99,71,879.50","76,434"
"21-Aug-2024","EQ","335.90","337.25","329.50","334.15","331.00","331.10","333.41","394.70","204.25","1,89,16,856","6,30,71,42,614.35","1,52,470"
"20-Aug-2024","EQ","332.40","337.95","332.00","331.45","336.60","334.15","334.60","394.70","204.25","1,57,72,046","5,27,72,90,180.10","1,24,233"
"19-Aug-2024","EQ","331.95","334.50","328.80","328.15","331.45","331.45","331.79","394.70","204.25","1,37,08,990","4,54,85,26,763.85","1,41,591"
"16-Aug-2024","EQ","324.00","329.55","319.55","320.20","327.90","328.15","324.24","394.70","204.25","1,64,46,600","5,33,26,21,025.85","1,70,127"
"14-Aug-2024","EQ","326.00","326.35","319.20","323.30","320.15","320.20","322.85","394.70","204.25","80,40,049","2,59,57,22,379.65","1,01,313"
"13-Aug-2024","EQ","329.50","336.50","322.00","329.15","323.00","323.30","329.81","394.70","204.25","1,51,72,143","5,00,39,42,102.00","1,68,540"
"12-Aug-2024","EQ","325.00","330.95","322.30","325.60","329.50","329.15","326.92","394.70","204.25","1,24,63,583","4,07,46,20,952.30","1,35,160"
"09-Aug-2024","EQ","330.20","330.50","324.50","326.40","325.75","325.60","327.23","394.70","204.25","77,93,704","2,55,03,21,456.15","1,09,090"
"08-Aug-2024","EQ","330.00","330.80","324.00","329.75","326.45","326.40","327.27","394.70","204.25","96,48,681","3,15,76,76,656.20","1,29,006"
"07-Aug-2024","EQ","316.45","337.20","313.30","311.35","331.00","329.75","322.99","394.70","204.25","2,07,55,735","6,70,38,10,523.85","1,93,361"
"06-Aug-2024","EQ","317.15","322.00","310.00","317.05","312.20","311.35","317.05","394.70","204.25","1,26,40,387","4,00,76,68,642.75","2,09,093"
"05-Aug-2024","EQ","317.95","322.20","315.00","326.25","317.15","317.05","317.63","394.70","204.25","1,67,51,766","5,32,07,84,369.15","2,85,258"
"02-Aug-2024","EQ","325.95","328.25","324.55","328.70","326.30","326.25","326.72","394.70","204.25","72,84,359","2,37,99,34,566.95","1,19,359"
"01-Aug-2024","EQ","329.00","332.90","328.25","328.50","328.70","328.70","330.70","394.70","204.25","1,31,37,038","4,34,44,29,790.70","1,54,051"
"31-Jul-2024","EQ","329.35","331.25","327.50","329.35","328.20","328.50","329.25","394.70","204.25","1,24,02,209","4,08,33,91,088.50","1,69,681"
"30-Jul-2024","EQ","331.00","331.75","329.10","330.20","329.30","329.35","330.10","394.70","204.25","87,05,901","2,87,38,02,772.30","1,33,892"
"29-Jul-2024","EQ","334.50","335.20","329.50","331.90","330.60","330.20","331.98","394.70","204.25","1,26,28,377","4,19,23,20,825.00","1,85,589"
"26-Jul-2024","EQ","329.85","336.65","329.55","329.20","331.95","331.90","333.20","394.70","204.25","96,88,122","3,22,80,81,964.80","1,18,918"
"25-Jul-2024","EQ","333.00","333.65","328.00","334.70","329.05","329.20","330.63","394.70","204.25","1,22,01,643","4,03,41,97,139.95","1,49,083"
"24-Jul-2024","EQ","335.25","339.00","334.60","334.90","334.95","334.70","336.15","394.70","204.25","87,29,363","2,93,43,45,297.50","1,07,342"
"23-Jul-2024","EQ","342.00","342.00","326.00","340.95","335.20","334.90","335.85","394.70","204.25","1,38,63,332","4,65,59,98,309.45","2,00,701"
"22-Jul-2024","EQ","338.75","343.00","334.30","338.75","341.00","340.95","339.66","394.70","204.25","1,22,79,130","4,17,07,63,546.55","1,58,860"
"19-Jul-2024","EQ","337.05","342.00","332.05","337.00","338.15","338.75","337.24","394.70","204.25","1,53,49,322","5,17,63,98,202.40","2,01,523"
"18-Jul-2024","EQ","345.60","346.15","336.00","344.25","337.00","337.00","338.38","394.70","204.25","2,51,88,963","8,52,33,66,848.10","3,68,889"
"16-Jul-2024","EQ","350.00","350.35","343.10","355.40","344.80","344.25","346.52","394.70","204.25","2,50,05,251","8,66,48,49,584.40","2,98,259"
"15-Jul-2024","EQ","354.30","356.70","351.70","350.35","355.70","355.40","353.94","394.70","204.25","1,54,88,346","5,48,19,89,499.05","1,34,397"
"12-Jul-2024","EQ","354.50","356.40","350.00","348.05","350.80","350.35","352.21","394.70","204.25","1,63,27,807","5,75,08,17,858.90","1,48,870"
"11-Jul-2024","EQ","349.50","351.35","347.00","347.95","348.20","348.05","348.32","394.70","204.25","80,45,640","2,80,24,91,269.00","1,07,885"
"10-Jul-2024","EQ","350.40","350.90","344.10","349.85","348.00","347.95","348.23","394.70","204.25","1,15,56,794","4,02,43,64,595.90","1,21,295"
"09-Jul-2024","EQ","349.10","353.70","348.55","348.30","349.50","349.85","351.05","394.70","204.25","89,08,509","3,12,73,63,816.70","1,06,222"
"08-Jul-2024","EQ","353.00","353.55","347.20","352.75","348.50","348.30","350.28","394.70","204.25","1,15,25,948","4,03,73,01,982.05","1,47,862"
"05-Jul-2024","EQ","350.85","354.80","349.10","350.85","353.00","352.75","351.15","394.70","204.25","1,55,13,571","5,44,75,32,583.50","1,44,289"
"04-Jul-2024","EQ","352.00","356.85","350.30","351.30","351.20","350.85","352.92","394.70","204.25","1,19,44,846","4,21,56,08,337.70","1,24,914"
"03-Jul-2024","EQ","353.00","356.40","349.70","351.00","351.30","351.30","351.84","394.70","204.25","1,21,02,104","4,25,80,43,509.20","1,23,270"
"02-Jul-2024","EQ","353.20","355.45","350.00","352.80","350.85","351.00","352.40","394.70","204.25","1,21,46,516","4,28,04,67,328.20","1,51,044"
"01-Jul-2024","EQ","358.15","358.40","352.05","358.15","352.85","352.80","353.76","394.70","204.25","1,56,88,767","5,55,01,16,362.00","1,93,524"
"28-Jun-2024","EQ","357.00","362.00","355.40","353.60","357.95","358.15","358.43","394.70","204.25","2,34,11,225","8,39,13,44,731.25","2,10,998"
"27-Jun-2024","EQ","356.25","358.40","348.00","356.25","353.35","353.60","353.86","394.70","204.25","1,86,89,181","6,61,33,71,855.90","1,68,103"
"26-Jun-2024","EQ","358.95","359.70","353.15","359.05","355.65","356.25","355.65","394.70","204.25","2,72,06,818","9,67,59,72,563.15","1,74,159"
"25-Jun-2024","EQ","356.95","362.50","356.25","355.35","358.95","359.05","359.24","394.70","204.25","1,32,12,387","4,74,64,10,393.90","1,13,911"
"24-Jun-2024","EQ","356.00","356.40","352.30","360.90","355.90","355.35","354.98","394.70","204.25","1,68,58,520","5,98,45,03,380.15","1,62,851"
"21-Jun-2024","EQ","366.00","366.80","359.15","365.55","360.70","360.90","362.64","394.70","204.25","2,10,75,778","7,64,29,26,137.75","2,12,016"
"20-Jun-2024","EQ","358.90","368.30","358.00","358.30","365.50","365.55","364.45","394.70","204.25","3,35,75,312","12,23,64,21,706.05","2,17,632"
"19-Jun-2024","EQ","363.95","363.95","357.05","363.20","358.70","358.30","359.81","394.70","204.25","1,57,17,813","5,65,54,12,620.65","1,56,043"
"18-Jun-2024","EQ","358.75","365.00","357.60","357.00","363.25","363.20","362.79","394.70","204.25","2,26,66,205","8,22,30,81,877.05","1,84,337"
"14-Jun-2024","EQ","362.00","362.75","356.10","360.80","357.95","357.00","358.29","394.70","204.25","1,98,58,187","7,11,49,82,960.95","1,57,173"
"13-Jun-2024","EQ","365.00","366.40","358.20","360.95","361.40","360.80","362.11","394.70","204.25","2,74,24,843","9,93,08,91,420.60","2,02,808"
"12-Jun-2024","EQ","351.95","363.50","351.55","350.25","363.20","360.95","357.18","394.70","204.25","2,99,97,548","10,71,46,40,895.15","2,58,141"
"11-Jun-2024","EQ","351.75","354.50","349.55","350.35","350.40","350.25","351.97","394.70","204.25","1,27,62,033","4,49,18,75,273.25","1,09,459"
"10-Jun-2024","EQ","355.25","357.35","348.70","353.15","350.95","350.35","352.99","394.70","204.25","1,56,70,416","5,53,15,06,677.55","1,38,646"
